Fecha,Indice general,Alimentos y bebidad,Vivienda,Educación,Transporte
01/01/1970,0.012198000000,N/E,N/E,N/E,N/E
01/02/1970,0.012196000000,N/E,N/E,N/E,N/E
01/03/1970,0.012232000000,N/E,N/E,N/E,N/E
01/04/1970,0.012248000000,N/E,N/E,N/E,N/E
01/05/1970,0.012274000000,N/E,N/E,N/E,N/E
01/06/1970,0.012348000000,N/E,N/E,N/E,N/E
01/07/1970,0.012409000000,N/E,N/E,N/E,N/E
01/08/1970,0.012466000000,N/E,N/E,N/E,N/E
01/09/1970,0.012496000000,N/E,N/E,N/E,N/E
01/10/1970,0.012500000000,N/E,N/E,N/E,N/E
01/11/1970,0.012568000000,N/E,N/E,N/E,N/E
01/12/1970,0.012674000000,N/E,N/E,N/E,N/E
01/01/1971,0.012799000000,N/E,N/E,N/E,N/E
01/02/1971,0.012852000000,N/E,N/E,N/E,N/E
01/03/1971,0.012901000000,N/E,N/E,N/E,N/E
01/04/1971,0.012967000000,N/E,N/E,N/E,N/E
01/05/1971,0.012994000000,N/E,N/E,N/E,N/E
01/06/1971,0.013053000000,N/E,N/E,N/E,N/E
01/07/1971,0.013043000000,N/E,N/E,N/E,N/E
01/08/1971,0.013162000000,N/E,N/E,N/E,N/E
01/09/1971,0.013205000000,N/E,N/E,N/E,N/E
01/10/1971,0.013218000000,N/E,N/E,N/E,N/E
01/11/1971,0.013240000000,N/E,N/E,N/E,N/E
01/12/1971,0.013303000000,N/E,N/E,N/E,N/E
01/01/1972,0.013362000000,N/E,N/E,N/E,N/E
01/02/1972,0.013403000000,N/E,N/E,N/E,N/E
01/03/1972,0.013476000000,N/E,N/E,N/E,N/E
01/04/1972,0.013561000000,N/E,N/E,N/E,N/E
01/05/1972,0.013588000000,N/E,N/E,N/E,N/E
01/06/1972,0.013689000000,N/E,N/E,N/E,N/E
01/07/1972,0.013740000000,N/E,N/E,N/E,N/E
01/08/1972,0.013831000000,N/E,N/E,N/E,N/E
01/09/1972,0.013894000000,N/E,N/E,N/E,N/E
01/10/1972,0.013904000000,N/E,N/E,N/E,N/E
01/11/1972,0.013994000000,N/E,N/E,N/E,N/E
01/12/1972,0.014042000000,N/E,N/E,N/E,N/E
01/01/1973,0.014246000000,N/E,N/E,N/E,N/E
01/02/1973,0.014363000000,N/E,N/E,N/E,N/E
01/03/1973,0.014490000000,N/E,N/E,N/E,N/E
01/04/1973,0.014719000000,N/E,N/E,N/E,N/E
01/05/1973,0.014876000000,N/E,N/E,N/E,N/E
01/06/1973,0.014998000000,N/E,N/E,N/E,N/E
01/07/1973,0.015382000000,N/E,N/E,N/E,N/E
01/08/1973,0.015629000000,N/E,N/E,N/E,N/E
01/09/1973,0.016001000000,N/E,N/E,N/E,N/E
01/10/1973,0.016206000000,N/E,N/E,N/E,N/E
01/11/1973,0.016406000000,N/E,N/E,N/E,N/E
01/12/1973,0.017043000000,N/E,N/E,N/E,N/E
01/01/1974,0.017653000000,N/E,N/E,N/E,N/E
01/02/1974,0.018052000000,N/E,N/E,N/E,N/E
01/03/1974,0.018191000000,N/E,N/E,N/E,N/E
01/04/1974,0.018438000000,N/E,N/E,N/E,N/E
01/05/1974,0.018583000000,N/E,N/E,N/E,N/E
01/06/1974,0.018766000000,N/E,N/E,N/E,N/E
01/07/1974,0.019038000000,N/E,N/E,N/E,N/E
01/08/1974,0.019239000000,N/E,N/E,N/E,N/E
01/09/1974,0.019457000000,N/E,N/E,N/E,N/E
01/10/1974,0.019843000000,N/E,N/E,N/E,N/E
01/11/1974,0.020394000000,N/E,N/E,N/E,N/E
