date,Índice general,01 Alimentos y bebidas no alcohólicas,"04 Vivienda, agua, electricidad, gas y otros combustibles",10 Enseñanza,07 Transporte
01/10/2024,115.726,130.058,106.616,107.708,110.802
01/09/2024,115.009,128.263,106.042,106.621,110.622
01/08/2024,115.707,128.595,106.758,105.405,112.565
01/07/2024,115.660,129.058,106.054,105.384,113.440
01/06/2024,116.212,129.474,108.012,105.387,113.155
01/05/2024,115.776,129.369,107.178,105.391,113.628
01/04/2024,115.472,129.317,106.295,105.389,114.355
01/03/2024,114.674,128.439,105.747,105.380,113.628
01/02/2024,113.807,128.357,103.426,105.304,113.057
01/01/2024,113.404,128.395,104.745,105.259,111.269
01/12/2023,113.308,127.728,101.376,105.224,111.137
01/11/2023,113.280,127.761,100.846,105.178,112.508
01/10/2023,113.676,127.630,102.309,105.012,114.176
01/09/2023,113.348,126.029,103.028,103.831,115.170
01/08/2023,113.149,125.420,102.618,102.494,113.997
01/07/2023,112.544,125.193,102.815,102.482,110.807
01/06/2023,112.354,124.245,102.744,102.473,110.153
01/05/2023,111.719,123.935,101.886,102.466,109.471
01/04/2023,111.773,123.474,102.225,102.461,111.156
01/03/2023,111.111,123.144,104.138,102.458,110.399
01/02/2023,110.703,121.849,106.287,102.426,110.398
01/01/2023,109.668,119.498,103.156,102.378,111.388
01/12/2022,109.899,119.044,107.680,102.193,106.957
01/11/2022,109.734,117.185,106.893,102.320,112.539
01/10/2022,109.866,116.610,110.790,102.218,112.593
01/09/2022,109.498,114.017,118.604,101.549,110.984
01/08/2022,110.265,113.481,125.137,100.869,112.614
01/07/2022,109.986,112.950,120.761,100.858,116.952
01/06/2022,110.267,112.609,117.695,100.844,119.210
01/05/2022,108.262,110.658,113.807,100.835,113.642
01/04/2022,107.375,109.328,114.653,100.817,110.466
01/03/2022,107.566,105.729,124.213,100.819,116.015
01/02/2022,104.403,104.470,113.252,100.836,108.360
01/01/2022,103.567,103.593,112.574,100.828,105.464
01/12/2021,103.965,102.903,112.736,100.820,103.494
01/11/2021,102.738,101.609,105.820,100.800,104.452
01/10/2021,102.425,101.013,107.963,100.713,103.442
01/09/2021,100.575,99.704,103.846,100.298,101.446
01/08/2021,99.743,99.760,100.308,99.705,100.971
01/07/2021,99.292,99.493,98.144,99.701,100.681
01/06/2021,100.046,99.699,98.903,99.691,100.015
01/05/2021,99.572,99.706,96.832,99.679,98.943
01/04/2021,99.105,99.281,96.478,99.667,97.889
01/03/2021,97.949,98.986,93.309,99.643,97.828
01/02/2021,97.008,98.953,90.314,99.645,96.076
01/01/2021,97.583,98.891,95.346,99.638,94.764
01/12/2020,97.574,98.049,91.448,99.632,93.328
01/11/2020,97.367,98.407,90.572,99.641,91.994
01/10/2020,97.208,99.329,89.625,99.569,92.101
01/09/2020,96.700,97.983,90.674,100.335,92.374
01/08/2020,96.555,97.905,89.936,99.864,92.825
01/07/2020,96.511,97.815,89.690,99.855,92.824
01/06/2020,97.385,98.636,89.206,99.867,91.860
01/05/2020,96.938,98.943,87.722,99.873,90.440
01/04/2020,96.944,98.955,87.674,99.883,91.173
01/03/2020,96.652,97.575,89.481,99.873,94.243
01/02/2020,97.024,97.436,91.276,99.873,97.272
01/01/2020,97.139,97.208,92.416,99.883,97.926
01/12/2019,98.096,96.946,91.509,99.865,97.617
01/11/2019,98.167,97.108,92.563,99.850,96.952
01/10/2019,98.001,97.141,92.973,99.805,97.071
01/09/2019,97.059,95.716,92.000,99.179,97.252
01/08/2019,97.059,95.801,92.469,99.052,97.098
01/07/2019,97.113,95.705,93.358,99.050,97.190
01/06/2019,97.719,95.960,92.752,99.047,96.911
01/05/2019,97.834,95.586,93.329,99.034,98.267
01/04/2019,97.644,95.171,93.840,99.026,97.820
01/03/2019,96.669,95.190,94.008,99.023,96.571
01/02/2019,96.320,95.534,94.765,99.030,95.510
01/01/2019,96.085,95.274,95.808,99.038,94.141
01/12/2018,97.329,95.359,96.354,99.005,93.823
01/11/2018,97.768,95.513,96.486,98.988,96.533
01/10/2018,97.875,96.024,96.717,98.658,97.884
01/09/2018,96.978,94.864,96.621,98.442,97.256
01/08/2018,96.742,94.870,95.587,98.097,96.861
01/07/2018,96.604,94.833,94.976,98.087,96.712
01/06/2018,97.302,95.499,94.134,98.051,96.902
01/05/2018,97.048,95.069,93.635,98.051,96.553
01/04/2018,96.181,94.410,91.994,98.047,94.816
01/03/2018,95.393,94.305,92.071,98.043,93.743
01/02/2018,95.281,94.223,93.881,98.038,93.811
01/01/2018,95.153,94.379,93.520,98.032,94.355
01/12/2017,96.190,94.095,94.026,98.029,93.593
01/11/2017,96.147,94.151,93.882,98.015,93.446
01/10/2017,95.710,94.382,93.039,97.992,92.604
01/09/2017,94.835,93.254,91.762,97.500,92.612
01/08/2017,94.670,93.007,91.685,97.367,92.044
01/07/2017,94.482,93.134,91.569,97.356,91.305
01/06/2017,95.138,93.169,91.782,97.359,91.351
