date,oro,plata,petroleo,gas_natural,indice_oro,indice_plata,indice_petroleo,indice_gas_natural,indice_general_mx,alimentos_bebidas_mx,vivienda_mx,educacion_mx,transporte_mx,indice_general_es,alimentos_bebidas_es,vivienda_es,educacion_es,transporte_es,sui_h_es,sui_m_es,sui_es,sui_m_mx,sui_h_mx,sui_mx
2002-01-01,282.1,4.22,19.48,2.15,22.737164503909085,25.467712733856363,42.3110338835795,70.72368421052632,50.9,42.17,61.63,41.73,46.47,69.53,65.86,58.76,58.35,63.8,212.83333333333334,68.08333333333333,280.9166666666667,54.75,265.75,322.5833333333333
2002-02-01,296.7,4.5,21.85,2.36,23.91391956153784,27.157513578756788,47.45873153779323,77.63157894736842,50.87,42.45,62.2,41.88,46.87,69.59,65.84,58.89,58.43,64.09,212.83333333333334,68.08333333333333,280.9166666666667,54.75,265.75,322.5833333333333
2002-03-01,302.6,4.64,26.23,3.24,24.38945756427823,28.002414001207,56.9721980886186,106.57894736842107,51.13,42.69,62.53,41.94,47.08,70.17,66.18,59.04,58.5,65.01,212.83333333333334,68.08333333333333,280.9166666666667,54.75,265.75,322.5833333333333
2002-04-01,308.9,4.53,27.29,3.77,24.897235431611183,27.338563669281836,59.27454387489139,124.01315789473684,51.41,42.83,62.87,41.95,47.35,71.12,66.61,59.22,58.56,66.02,212.83333333333334,68.08333333333333,280.9166666666667,54.75,265.75,322.5833333333333
2002-05-01,326.5,5.03,25.35,3.22,26.31578947368421,30.356065178032587,55.06081668114683,105.92105263157896,51.51,42.92,63.17,41.96,47.56,71.37,66.9,59.32,58.56,66.19,212.83333333333334,68.08333333333333,280.9166666666667,54.75,265.75,322.5833333333333
2002-06-01,313.5,4.83,26.86,3.24,25.267993874425727,29.149064574532286,58.34057341442224,106.57894736842107,51.76,42.89,63.48,42.02,47.67,71.38,67.08,59.47,58.57,65.54,212.83333333333334,68.08333333333333,280.9166666666667,54.75,265.75,322.5833333333333
2002-07-01,303.2,4.59,27.02,2.95,24.43781736116708,27.700663850331924,58.68809730668983,97.03947368421053,51.91,42.87,63.75,42.06,47.74,70.88,67.35,59.61,58.59,65.58,212.83333333333334,68.08333333333333,280.9166666666667,54.75,265.75,322.5833333333333
2002-08-01,312.4,4.44,28.98,3.3,25.17933424679616,26.795413397706703,62.94526498696785,108.55263157894737,52.11,42.94,64.02,42.61,47.81,71.08,67.67,59.7,58.6,65.78,212.83333333333334,68.08333333333333,280.9166666666667,54.75,265.75,322.5833333333333
2002-09-01,315.2,4.470000000000001,28.1,3.73,25.40501329894414,26.97646348823175,61.0338835794961,122.69736842105263,52.42,43.01,64.28,45.7,47.99,71.35,68.03,59.86,59.02,66.04,212.83333333333334,68.08333333333333,280.9166666666667,54.75,265.75,322.5833333333333
2002-10-01,318.0,4.5,27.22,4.16,25.630692351092126,27.157513578756788,59.122502172024326,136.8421052631579,52.65,43.27,64.53,45.71,48.05,72.06,68.15,59.93,60.47,66.34,212.83333333333334,68.08333333333333,280.9166666666667,54.75,265.75,322.5833333333333
2002-11-01,316.8,4.41,26.89,4.2,25.533972757314423,26.614363307181655,58.40573414422242,138.1578947368421,53.08,43.4,64.75,45.71,48.13,72.17,68.25,59.92,60.59,65.44,212.83333333333334,68.08333333333333,280.9166666666667,54.75,265.75,322.5833333333333
2002-12-01,342.55,4.63,30.2,4.905,27.60941404046103,27.942063971031985,65.59513466550825,161.34868421052633,53.31,43.49,64.93,45.71,48.24,72.41,68.68,60.02,60.93,65.83,212.83333333333334,68.08333333333333,280.9166666666667,54.75,265.75,322.5833333333333
2003-01-01,368.3,4.85,33.51,5.61,29.68485532360764,29.269764634882318,72.78453518679409,184.53947368421052,53.53,43.79,65.26,45.87,48.63,72.11,69.06,60.49,61.02,66.84,220.83333333333334,69.0,289.8333333333333,58.166666666666664,282.5,342.0
2003-02-01,350.2,4.59,36.6,8.1,28.226001450793902,27.700663850331924,79.496090356212,266.4473684210526,53.67,44.08,65.62,46.17,48.83,72.26,68.83,60.75,61.39,67.47,220.83333333333334,69.0,289.8333333333333,58.166666666666664,282.5,342.0
2003-03-01,335.9,4.46,31.04,5.06,27.07342629160957,26.916113458056728,67.41963509991312,166.4473684210526,54.01,44.33,65.93,46.24,48.89,72.76,69.07,61.12,61.43,68.04,220.83333333333334,69.0,289.8333333333333,58.166666666666664,282.5,342.0
2003-04-01,339.1,4.64,25.8,5.39,27.33134520835013,28.002414001207,56.03822762814944,177.30263157894734,54.11,44.46,66.15,46.31,48.99,73.36,69.1,61.15,61.44,67.03,220.83333333333334,69.0,289.8333333333333,58.166666666666664,282.5,342.0
2003-05-01,364.5,4.53,29.56,6.25,29.378576609978236,27.338563669281836,64.20503909643787,205.59210526315786,53.93,44.59,66.36,46.33,49.08,73.29,69.29,61.02,61.45,66.3,220.83333333333334,69.0,289.8333333333333,58.166666666666664,282.5,342.0
2003-06-01,359.25,4.825,30.049999999999997,5.484999999999999,28.955428387200772,29.11888955944478,65.26933101650738,180.42763157894734,53.98,44.63,66.57,46.36,49.11,73.34,69.41,61.1,61.48,66.17,220.83333333333334,69.0,289.8333333333333,58.166666666666664,282.5,342.0
